mid_month,num_trans,num_day,std
20360510000099_8,0.187265918,0.909090909,0.076190512
20300000000643_7,0.078651685,0.545454545,0.104282238
20300000000643_8,0.074906367,0.454545455,0.113279062
20300000000191_8,0.063670412,0.590909091,0.091879051
20300000000191_9,0.217228464,0.590909091,0.323336443
20460510000045_8,0.134831461,0.727272727,0.126557488
20460510000045_9,0.138576779,0.818181818,0.121975144
20360510000063_8,0.404494382,0.863636364,0.210258022
20360510000063_9,0.411985019,0.909090909,0.161598536
20360510000141_7,0.104868914,0.863636364,0.050972208
20360510000141_8,0.074906367,0.772727273,0.048637471
20360510000141_9,0.007490637,0.545454545,0.038525903
20400000000092_7,0.018726592,0.590909091,0.044045409
20388880000002_7,0.153558052,1,0.115088387
20388880000002_9,0.082397004,0.909090909,0.051926117
20300000000008_7,0.02247191,0.863636364,0.010625873
20300000000008_8,0.018726592,0.681818182,0.008235074
20300000000008_9,0.02247191,0.681818182,0.017453321
20300000000010_7,0.228464419,1,0.108336625
20400000000129_9,0.123595506,0.818181818,0.068420517
20360510000133_7,0.224719101,0.772727273,0.29761722
20300000000644_8,0.014981273,0.636363636,0.023779385
20300000000644_9,0.265917603,0.954545455,0.2768095
20300000000029_7,0.112359551,0.909090909,0.074496064
20300000000029_8,0.056179775,0.772727273,0.051080472
20488880000025_7,0.31835206,0.272727273,0.729587439
20488880000025_8,0.419475655,0.727272727,0.435490306
20488880000025_9,0.08988764,0.409090909,0.1780275
20360510000067_8,0.756554307,0.772727273,0.535059534
20360510000067_9,0.741573034,0.772727273,0.406226064
20460510000004_7,0.082397004,0.727272727,0.060268059
20460510000004_8,0.048689139,0.727272727,0.046327991
20460510000004_9,0.086142322,0.772727273,0.044518173
20460510000031_7,0.026217228,0.409090909,0.067340102
20460510000031_8,0.02247191,0.363636364,0.092064757
20488880000012_7,0.078651685,0.590909091,0.070365987
20488880000012_8,0.011235955,0.636363636,0.035597915
20488880000018_7,0.048689139,0.545454545,0.086695371
20488880000018_8,0.101123596,0.590909091,0.13274332
20488880000018_9,0.011235955,0.318181818,0.091459373
20360510000112_7,0.123595506,0.590909091,0.117426994
20360510000112_8,0.003745318,0.318181818,0.052371695
20388880000017_7,0.041198502,0.909090909,0.012832423
20388880000017_8,0.041198502,0.909090909,0.012832423
20388880000017_9,0.041198502,0.772727273,0.019211495
20460510000057_7,0.037453184,0.863636364,0.018994887
