Month,Pork Price
Apr-90,99.64
May-90,115.68
Jun-90,121.46
Jul-90,96.19
Aug-90,93.97
Sep-90,95.68
Oct-90,113.63
Nov-90,110.74
Dec-90,106.5
Jan-91,120.18
Feb-91,106.67
Mar-91,109.88
Apr-91,107.66
May-91,106.93
Jun-91,104.81
Jul-91,92.26
Aug-91,77.79
Sep-91,73.21
Oct-91,59.99
Nov-91,55.73
Dec-91,52.89
Jan-92,51.77
Feb-92,54.73
Mar-92,52.38
Apr-92,50.26
May-92,64.16
Jun-92,60.98
Jul-92,61.04
Aug-92,65.62
Sep-92,53.85
Oct-92,53.76
Nov-92,56.06
Dec-92,53.17
Jan-93,59.14
Feb-93,62.98
Mar-93,65.6
Apr-93,63.73
May-93,66.6
Jun-93,68.31
Jul-93,65.46
Aug-93,68.43
Sep-93,68.98
Oct-93,66.79
Nov-93,60.68
Dec-93,57.53
Jan-94,62.4
Feb-94,67.84
Mar-94,62.63
Apr-94,59.98
May-94,60.57
Jun-94,61.27
Jul-94,60.59
Aug-94,60.12
Sep-94,50.41
Oct-94,45.41
Nov-94,40.26
Dec-94,45.43
Jan-95,53.42
Feb-95,55.68
Mar-95,54.05
Apr-95,51.05
May-95,48.05
Jun-95,55.55
Jul-95,66.06
Aug-95,78.08
Sep-95,75.7
Oct-95,78.51
Nov-95,65.89
Dec-95,71.5
Jan-96,72.9
Feb-96,78.51
Mar-96,89.72
Apr-96,99.53
May-96,112.15
Jun-96,102.34
Jul-96,124.77
Aug-96,124.77
Sep-96,76.3
Oct-96,76.59
Nov-96,75.74
Dec-96,76.51
Jan-97,74.6
Feb-97,72.48
Mar-97,68.96
Apr-97,76.86
May-97,81.52
Jun-97,83.17
Jul-97,83.14
Aug-97,77.41
Sep-97,70.66
Oct-97,65.95
Nov-97,63.03
Dec-97,56.52
Jan-98,50.56
Feb-98,50.38
Mar-98,50.25
Apr-98,50.75
May-98,61.33
Jun-98,60.45
Jul-98,52.34
Aug-98,49.06
Sep-98,40.93
Oct-98,38.59
Nov-98,23.68
Dec-98,19.1
Jan-99,34.86
Feb-99,37.34
Mar-99,35.08
Apr-99,39.45
May-99,48.75
Jun-99,45.92
Jul-99,44.33
Aug-99,53.25
Sep-99,48.7
Oct-99,46.59
Nov-99,47.66
Dec-99,50.94
Jan-00,51.61
Feb-00,54.91
Mar-00,57.76
Apr-00,66.95
May-00,69.16
Jun-00,69.5
Jul-00,66.59
Aug-00,59.49
Sep-00,57.16
Oct-00,54.89
Nov-00,48.68
Dec-00,54.76
1-Jan,50.38
1-Feb,53.8
1-Mar,63.11
1-Apr,64.63
1-May,70.61
1-Jun,72.92
1-Jul,72.97
1-Aug,71.54
1-Sep,63.93
1-Oct,57.29
1-Nov,48.6
1-Dec,47.41
2-Jan,54.26
2-Feb,55.14
2-Mar,50.8
2-Apr,44.78
2-May,46.98
2-Jun,50.41
2-Jul,54.87
2-Aug,46.11
2-Sep,36.66
2-Oct,42.81
2-Nov,40.6
2-Dec,43.67
3-Jan,46.58
3-Feb,48.16
3-Mar,48.84
3-Apr,49.26
3-May,58.99
3-Jun,64.81
3-Jul,60.9
3-Aug,56.69
3-Sep,56.65
3-Oct,52.54
3-Nov,48.69
3-Dec,48.68
4-Jan,52.94
4-Feb,61.03
4-Mar,65.35
4-Apr,65.28
4-May,78.87
4-Jun,78.36
4-Jul,78.66
4-Aug,76.03
4-Sep,74.88
4-Oct,72.7
4-Nov,75.81
4-Dec,72.18
5-Jan,72.08
5-Feb,69.23
5-Mar,69.45
5-Apr,69
5-May,74.92
5-Jun,67.47
5-Jul,67.52
5-Aug,69.66
5-Sep,67.45
5-Oct,64.88
5-Nov,59.88
5-Dec,60.7
6-Jan,55.84
6-Feb,58.43
6-Mar,58.68
6-Apr,55.96
6-May,66.23
6-Jun,74.38
6-Jul,70.1
6-Aug,71.93
6-Sep,67.91
6-Oct,64.32
6-Nov,62.12
6-Dec,60.59
7-Jan,59.54
7-Feb,65.68
7-Mar,61.53
7-Apr,65.42
7-May,73.51
7-Jun,74.06
7-Jul,70.81
7-Aug,70.36
7-Sep,63.15
7-Oct,56.69
7-Nov,49.95
7-Dec,53.28
8-Jan,49.76
8-Feb,57.86
8-Mar,53.24
8-Apr,61.15
8-May,78.11
8-Jun,73.9
8-Jul,76.08
8-Aug,84.56
8-Sep,71.16
8-Oct,63.67
8-Nov,52.6
8-Dec,53.7
9-Jan,55.99
9-Feb,57.37
9-Mar,57.35
9-Apr,57.89
9-May,58.72
9-Jun,56.96
9-Jul,57.88
9-Aug,49.56
9-Sep,50.62
9-Oct,50.95
9-Nov,54.18
9-Dec,61.85
10-Jan,67.34
10-Feb,66.19
10-Mar,70.93
10-Apr,77.58
10-May,85.29
10-Jun,78.72
10-Jul,78.8
10-Aug,83.15
10-Sep,81.93
10-Oct,71.15
10-Nov,63.48
10-Dec,68.81
11-Jan,75.04
11-Feb,83.22
11-Mar,80.83
11-Apr,92.06
11-May,92.45
11-Jun,94.55
11-Jul,96.92
11-Aug,103.02
11-Sep,88.55
11-Oct,92.48
11-Nov,85.7
11-Dec,83.93
12-Jan,84.13
12-Feb,86.41
12-Mar,84.69
12-Apr,79.85
12-May,79.15
12-Jun,91.87
12-Jul,94.47
12-Aug,86.38
12-Sep,68.77
12-Oct,79.72
12-Nov,77.9
12-Dec,80.22
13-Jan,82.79
13-Feb,83.08
13-Mar,73.36
13-Apr,77.95
13-May,89.17
13-Jun,98.1
13-Jul,98.45
13-Aug,96.12
13-Sep,91.73
13-Oct,87.76
13-Nov,81.5
13-Dec,78.57
14-Jan,78.85
14-Feb,86.35
14-Mar,113.21
14-Apr,120.33
14-May,110.47
14-Jun,115.27
14-Jul,128.67
14-Aug,109.2
14-Sep,100.53
14-Oct,101.9
14-Nov,86.16
14-Dec,82.81
15-Jan,73
15-Feb,61.84
15-Mar,61.71
15-Apr,60.98
15-May,77.32
15-Jun,77.35
15-Jul,75.95
15-Aug,75.58
15-Sep,69.84
15-Oct,71.24
15-Nov,57.03
15-Dec,53.11
16-Jan,54.51
16-Feb,62.94
16-Mar,63.43
16-Apr,64.81
16-May,73.99
16-Jun,79.05
16-Jul,76.01
16-Aug,65.16
16-Sep,58.71
16-Oct,50.23
16-Nov,46.61
16-Dec,53.45
